Pet ID,Name,Status,Publish Date,Organization ID,City,State,Breed,Age,Gender,Size,Spayed or Neutered,House Trained,Special Needs,Shots Current,Date Collected,Days Available
54255749,Mailbox - In Foster,adoptable,2022-01-16,GA423,Chamblee,GA,Mixed Breed,Adult,Male,Large,True,False,False,False,2022-04-26,100
55353705,Fifi,adoptable,2022-04-20,GA59,Milledgeville,GA,Weimaraner,Baby,Female,Medium,True,False,False,True,2022-04-26,6
51630970,William,adoptable,2021-05-22,GA244,Monticello,GA,Terrier,Baby,Male,Small,True,True,False,True,2022-04-26,339
55283219,Zion - In Foster,adoptable,2022-04-12,GA423,Chamblee,GA,Mixed Breed,Adult,Male,Large,True,False,False,False,2022-04-26,14
50893076,Boaz,adoptable,2021-03-16,GA857,Norwood,GA,Cane Corso,Young,Male,Extra Large,True,True,False,True,2022-04-26,406
54887089,Dash,adoptable,2022-03-07,GA423,Chamblee,GA,Mixed Breed,Adult,Male,Large,True,False,False,False,2022-04-26,50
55217484,Chocolate Chip,adoptable,2022-04-05,GA163,Social Circle,GA,Hound,Baby,Male,Medium,True,False,False,True,2022-04-26,21
45807366,Luna,adoptable,2019-08-31,GA174,Forsyth,GA,Terrier,Adult,Female,Medium,True,True,False,False,2022-04-26,969
55064202,Brutus,adoptable,2022-03-22,GA66,Albany,GA,Mixed Breed,Adult,Male,Medium,False,False,False,True,2022-04-26,35
55249557,Lou,adoptable,2022-04-08,GA680,Atlanta,GA,Beagle,Senior,Male,Small,True,False,False,True,2022-04-26,18
54677508,Sun,adoptable,2022-02-19,GA217,Atlanta,GA,Pit Bull Terrier,Young,Female,Medium,True,False,False,False,2022-04-26,66
55269355,Togedemaru,adoptable,2022-04-11,GA423,Chamblee,GA,Mixed Breed,Young,Female,Medium,False,False,False,False,2022-04-26,15
55298930,Arjun,adoptable,2022-04-14,GA423,Chamblee,GA,Mixed Breed,Young,Female,Medium,False,False,False,False,2022-04-26,12
55020619,Leo 03-1856,adoptable,2022-03-18,GA926,Tyrone,GA,Hound,Baby,Male,Small,True,False,False,True,2022-04-26,39
55065410,Ignacio,adoptable,2022-03-22,GA423,Chamblee,GA,Mixed Breed,Adult,Male,Large,False,False,False,False,2022-04-26,35
55397147,Sunshine,adoptable,2022-04-25,GA247,Covington,GA,Pit Bull Terrier,Adult,Female,Medium,False,False,False,True,2022-04-26,1
54973559,Pen 168C Blue,adoptable,2022-03-14,GA357,Lawrenceville,GA,Pit Bull Terrier,Adult,Male,Large,True,False,False,True,2022-04-26,43
54793742,Novella,adoptable,2022-02-28,GA423,Chamblee,GA,Mixed Breed,Adult,Female,Large,False,False,False,False,2022-04-26,57
54486945,Zoey,adoptable,2022-02-02,GA620,Barnesville,GA,German Shepherd Dog,Adult,Female,Medium,False,False,False,False,2022-04-26,83
55301502,Rooster,adoptable,2022-04-14,GA423,Chamblee,GA,Mixed Breed,Adult,Male,Large,True,False,False,False,2022-04-26,12
53945164,Ike,adoptable,2021-12-18,GA508,Atlanta,GA,Labrador Retriever,Senior,Male,Medium,True,True,False,True,2022-04-26,129
52382807,Gertie,adoptable,2021-07-17,GA919,Atlanta,GA,Rottweiler,Senior,Female,Medium,True,True,False,True,2022-04-26,283
55034604,Rosie,adoptable,2022-03-19,GA66,Albany,GA,Pit Bull Terrier,Adult,Female,Medium,False,False,False,False,2022-04-26,38
55252504,Bruce,adoptable,2022-04-08,GA219,Augusta,GA,Pit Bull Terrier,Young,Male,Medium,True,False,False,False,2022-04-26,18
21938817,Binky,adoptable,2012-01-10,GA665,Peachtree City,GA,American Staffordshire Terrier,Adult,Male,Medium,True,True,False,True,2022-04-26,3759
55355751,Extra-Adopted,adoptable,2022-04-20,GA423,Chamblee,GA,Mixed Breed,Baby,Female,Small,False,False,False,False,2022-04-26,6
55302810,Nyla (St Nick),adoptable,2022-04-14,GA787,Peachtree City,GA,Pit Bull Terrier,Adult,Female,Medium,True,False,False,True,2022-04-26,12
55265905,Mr.Grinch,adoptable,2022-04-11,GA217,Atlanta,GA,Pit Bull Terrier,Young,Male,Medium,True,False,False,False,2022-04-26,15
55109682,Dior,adoptable,2022-03-25,GA217,Atlanta,GA,Pit Bull Terrier,Baby,Male,Small,True,False,False,False,2022-04-26,32
55142816,Gwen 9710,adoptable,2022-03-29,GA181,Columbus,GA,Mixed Breed,Young,Female,Large,True,False,False,True,2022-04-26,28
55358114,Fisher,adoptable,2022-04-21,GA1028,Warner Robins,GA,Husky,Young,Male,Medium,False,True,False,True,2022-04-26,5
54252713,Lucinda,adoptable,2022-01-16,GA335,Atlanta,GA,Pit Bull Terrier,Young,Female,Medium,True,False,False,False,2022-04-26,100
55350575,Alex #8531,adoptable,2022-04-20,GA232,Monroe,GA,Pit Bull Terrier,Adult,Male,Medium,False,False,False,False,2022-04-26,6
55284890,Bently,adoptable,2022-04-12,GA423,Chamblee,GA,Mixed Breed,Adult,Male,Medium,False,False,False,False,2022-04-26,14
54255515,Banjo,adoptable,2022-01-16,GA423,Chamblee,GA,Mixed Breed,Adult,Male,Large,False,False,False,False,2022-04-26,100
55024810,Tullulah (In Foster),adoptable,2022-03-18,GA335,Atlanta,GA,Mixed Breed,Young,Female,Large,True,False,False,False,2022-04-26,39
