Pet ID,Name,Status,Publish Date,Organization ID,City,State,Breed,Age,Gender,Size,Coat,Spayed or Neutered,House Trained,Special Needs,Shots Current
54861043,Gallade,adoptable,2022-03-04T21:06:22+0000,GA423,Chamblee,GA,Mixed Breed,Adult,Male,Large,,False,False,False,False
54793067,Dada,adoptable,2022-02-28T22:06:20+0000,GA423,Chamblee,GA,Mixed Breed,Adult,Male,Large,,False,False,False,False
54781320,Hunter,adoptable,2022-02-28T01:12:21+0000,GA52,Lawrenceville,GA,Terrier,Young,Male,Medium,Short,True,True,False,True
55304048,Huff,adoptable,2022-04-14T20:46:20+0000,GA862,Athens,GA,Mixed Breed,Adult,Male,Medium,,False,False,False,False
55183587,Bismuth Jule-ADOPTED!,adoptable,2022-04-01T21:06:19+0000,GA423,Chamblee,GA,Mixed Breed,Adult,Female,Large,,False,False,False,False
53225682,Ares,adoptable,2021-10-11T03:21:08+0000,GA793,Macon,GA,Labrador Retriever,Young,Male,Large,,True,True,False,True
54255526,Tallulah,adoptable,2022-01-16T22:06:37+0000,GA423,Chamblee,GA,Mixed Breed,Adult,Female,Large,,False,False,False,False
55168820,Larry,adoptable,2022-03-31T18:58:16+0000,GA508,Atlanta,GA,Labrador Retriever,Adult,Male,Medium,,True,True,False,True
55110724,Pen 119 Bugz,adoptable,2022-03-25T18:16:28+0000,GA357,Lawrenceville,GA,American Staffordshire Terrier,Adult,Male,Large,,True,False,False,True
55105882,Stephen Francis aka Beau A043630,adoptable,2022-03-25T10:01:59+0000,GA993,Sharpsburg,GA,Coonhound,Adult,Male,Medium,,True,False,False,True
54028304,Noelle,adoptable,2021-12-28T10:06:50+0000,GA150,Madison,GA,Pit Bull Terrier,Young,Female,Medium,,True,False,False,True
55068060,SNAIL,adoptable,2022-03-22T17:14:21+0000,GA217,Atlanta,GA,German Shepherd Dog,Young,Male,Small,,False,False,False,False
54999864,BUTTERFLY,adoptable,2022-03-16T18:46:01+0000,GA99,Macon,GA,American Bulldog,Young,Female,Large,,False,False,False,False
55397783,ADONIS,adoptable,2022-04-25T18:01:01+0000,GA217,Atlanta,GA,Labrador Retriever,Baby,Male,Small,,False,False,False,False
55273621,CHARLOTTE,adoptable,2022-04-11T20:24:25+0000,GA99,Macon,GA,Rat Terrier,Senior,Female,Small,,True,False,False,False
55034520,Rocket,adoptable,2022-03-19T10:04:31+0000,GA66,Albany,GA,Mixed Breed,Adult,Male,Large,,False,False,False,True
55290714,Miller,adoptable,2022-04-13T16:01:52+0000,GA1025,Waynesboro,GA,Pit Bull Terrier,Adult,Male,Large,,False,False,False,True
52808917,Lilo,adoptable,2021-08-28T23:43:01+0000,GA76,Winder,GA,Great Dane,Adult,Female,Large,,True,True,False,True
55384639,Blitz 2870,adoptable,2022-04-23T20:50:09+0000,GA181,Columbus,GA,Mixed Breed,Young,Male,Medium,,True,False,False,True
50269249,Oreo,adoptable,2021-01-13T19:36:18+0000,GA620,Barnesville,GA,Mixed Breed,Adult,Female,Medium,,True,False,False,True
54255710,Dopey,adoptable,2022-01-16T22:06:38+0000,GA423,Chamblee,GA,Mixed Breed,Adult,Male,Medium,,True,False,False,False
55032783,Dublin,adoptable,2022-03-19T02:20:11+0000,GA76,Winder,GA,Chihuahua,Young,Male,Small,,True,False,False,True
54581314,Brishon,adoptable,2022-02-10T18:06:28+0000,GA423,Chamblee,GA,Mixed Breed,Adult,Male,Large,,True,False,False,False
55285019,Donna,adoptable,2022-04-12T21:19:16+0000,GA862,Athens,GA,Mixed Breed,Adult,Female,Large,,True,False,False,False
55067522,Mason,adoptable,2022-03-22T16:27:57+0000,GA168,Perry,GA,German Shepherd Dog,Adult,Male,Large,,True,False,False,True
55179530,Agate Jule-ADOPTED!,adoptable,2022-04-01T17:06:22+0000,GA423,Chamblee,GA,Mixed Breed,Adult,Female,Large,,False,False,False,False
55365293,Dixie,adoptable,2022-04-21T19:20:32+0000,GA418,Leesburg,GA,Pit Bull Terrier,Young,Female,Medium,Short,True,True,False,True
55278370,Pamela,adoptable,2022-04-12T14:23:33+0000,GA299,Douglasville,GA,Husky,Adult,Female,Medium,,False,False,False,True
55034611,Jett,adoptable,2022-03-19T10:04:32+0000,GA66,Albany,GA,Bull Terrier,Adult,Male,Medium,,False,False,False,True
55297141,Rhiannon,adoptable,2022-04-14T02:06:14+0000,GA423,Chamblee,GA,Mixed Breed,Adult,Female,Medium,,False,False,False,False
55015888,Krystal,adoptable,2022-03-17T22:40:19+0000,GA553,Warner Robins,GA,Terrier,Baby,Female,Medium,Short,False,False,False,True
54673729,Princess,adoptable,2022-02-18T21:06:41+0000,GA423,Chamblee,GA,Mixed Breed,Adult,Female,Medium,,True,False,False,False
55205836,Jack 03-3190,adoptable,2022-04-04T19:25:10+0000,GA926,Tyrone,GA,Pit Bull Terrier,Baby,Male,Small,,False,False,False,True
55034533,Luna,adoptable,2022-03-19T10:04:31+0000,GA66,Albany,GA,Terrier,Adult,Female,Small,,False,False,False,True
55326316,Oscar,adoptable,2022-04-17T22:41:11+0000,GA680,Atlanta,GA,Terrier,Adult,Male,Small,,True,False,False,True
54941995,Garbanzo 03-1114,adoptable,2022-03-11T18:25:15+0000,GA926,Tyrone,GA,Pit Bull Terrier,Baby,Male,Small,,False,False,False,True
53621182,Panda,adoptable,2021-11-19T19:55:42+0000,GA535,Dunwoody,GA,Mixed Breed,Adult,Female,Medium,,True,False,False,True
55300499,BROADWAY,adoptable,2022-04-14T16:37:51+0000,GA99,Macon,GA,German Shepherd Dog,Adult,Female,Large,,False,False,False,False
